profile,gpu_layers,slots,total_context_tokens,cache_ram_mib,retrieval_prompt_tok_s,retrieval_generation_tok_s,uncached_pair_wall_s,uncached_aggregate_tok_s,cached_aggregate_tok_s,peak_gtt_gib,minimum_available_gib
8 layers 1 slot 2 GiB cache,8,1,262144,2048,40.95,10.71,26.16,8.37,11.30,14.96,96.04
16 layers 1 slot 2 GiB cache,16,1,262144,2048,48.07,11.54,24.34,9.00,11.94,28.72,83.06
24 layers 1 slot 2 GiB cache,24,1,262144,2048,57.49,12.41,22.55,9.71,12.58,42.71,71.46
32 layers 1 slot 2 GiB cache,32,1,262144,2048,75.39,13.61,20.25,10.81,14.02,56.45,58.97
40 layers 1 slot 2 GiB cache,40,1,262144,2048,109.55,15.56,17.29,12.66,16.79,70.27,47.33
40 layers 2 slots 2 GiB cache,40,2,524288,2048,104.24,14.90,12.78,17.14,23.73,77.30,38.71
40 layers 2 slots 4 GiB cache,40,2,524288,4096,105.09,15.37,12.61,17.37,24.30,77.30,36.96
